combination_id,max_weight,cardinality,sector_max,objective,annual_return,annual_volatility,sharpe_ratio,selected_assets
981,0.2,10,0.1,8.589979320209352,0.13355370383418974,0.13877057146468802,0.8182837516316271,10
1007,0.2,16,0.2,0.08248538723065371,0.15837017879806203,0.1694135568919842,0.8167597761157037,16
712,0.16,6,0.25,41.492933462873026,0.14554691617277082,0.15372217987497327,0.8167130876941883,6
144,0.07,8,0.25,441.5917398420089,0.132650546018699,0.13795009980598105,0.8166035847537302,8
608,0.14,12,0.25,0.04385065859164973,0.14239216261728793,0.14997826442709333,0.8160660018624537,12
321,0.1,5,0.1,1000.7433856677321,0.15756009308118757,0.16861621673268637,0.8158176938536509,5
243,0.08,17,0.2,0.054537607319722264,0.14735909435305244,0.15612273694875978,0.8157626290836313,17
154,0.07,11,0.15,268.0237795907969,0.145833563187581,0.15439624129622267,0.8150040579430838,11
289,0.09,13,0.1,173.383644663046,0.13698058132493712,0.14372654530480536,0.8139107572428792,10
419,0.11,13,0.2,0.478273371147257,0.1507888356812452,0.16073449528907977,0.8136948789120997,13
212,0.08,9,0.25,281.3767538203177,0.1310276902975287,0.136633320482793,0.812596004438837,9
3,0.05,5,0.2,750.7688857083423,0.15618590923617715,0.1678014479096091,0.8115895955173013,5
579,0.14,5,0.2,300.5732882048639,0.13377690225630773,0.1401902706464791,0.8115891476036982,5
845,0.18,8,0.1,203.59814600202398,0.13430661434225824,0.14106246272584635,0.8103262351545083,8
473,0.12,11,0.1,17.81739049058077,0.1250071667729859,0.12961184885902163,0.8101664137759645,10
570,0.13,19,0.15,2.691286260579056,0.1277746176177704,0.13308977956562307,0.8097888355478834,10
1017,0.2,19,0.1,76.73078339120934,0.13209652350649959,0.1386871672883066,0.8082688953727805,10
690,0.15,17,0.15,2.000548195176709,0.13777504257753526,0.1458472931895661,0.8075229920411088,17
551,0.13,14,0.2,1.1952567350749344,0.13071482149089345,0.13721622222073362,0.8068639385275558,14
211,0.08,9,0.2,304.8944803948086,0.12290784746059033,0.12789654399558623,0.8046178907237848,9
1009,0.2,17,0.1,72.55663576755576,0.12893920716734536,0.13592757973144795,0.8014503560099907,10
1008,0.2,16,0.25,0.12231788412653419,0.14452025892845155,0.1554220936079992,0.8011747624666072,16
606,0.14,12,0.15,4.241777019732441,0.1393866845801701,0.14934900934579476,0.7993804920643865,10
488,0.12,14,0.25,0.09754114931700711,0.1345048837520913,0.14383039451381402,0.7961104753911651,14
106,0.06,15,0.15,105.00034189986592,0.12248995457467327,0.1288684897087948,0.7953065548162368,15
626,0.14,17,0.15,5.297899806564862,0.14266128423852262,0.15425491416980947,0.7951855854880097,13
208,0.08,8,0.25,361.18761734837153,0.14764370164807827,0.1605565270895868,0.7950078639708997,8
105,0.06,15,0.1,429.16930741534213,0.13268774498188524,0.14185027689479368,0.7944132887767469,10
504,0.12,18,0.25,0.09566528114338531,0.13938428043155787,0.15038232182616768,0.7938717728374911,18
947,0.19,17,0.2,0.10825350900975998,0.13769547530092868,0.14833237448488695,0.793457771505709,17
647,0.15,6,0.2,100.64336959996756,0.13740134659099595,0.14801085498164865,0.7931941654249084,6
661,0.15,10,0.1,108.9392909792859,0.12446629921120113,0.13184126960265805,0.7923641779697712,9
157,0.07,12,0.1,335.7584983795116,0.12668267305547484,0.13475680782387273,0.7916681522681154,10
853,0.18,10,0.1,7.279421173513074,0.1394649219753961,0.15101153322669958,0.791098000415998,10
282,0.09,11,0.15,46.95728415953152,0.12785743418458925,0.13668535373404508,0.7890928416109042,11
900,0.19,5,0.25,50.42400091177392,0.1475949452172398,0.16185415893624258,0.7883328179877162,5
893,0.18,20,0.1,301.20639762334537,0.12073999452143064,0.12783381478439476,0.788054355503192,7
13,0.05,8,0.1,802.4928627172784,0.14259078878756268,0.1559366004008209,0.786157890273702,8
491,0.12,15,0.2,0.1625591885913227,0.1348574143083704,0.1465462094031445,0.7837624376376797,15
842,0.18,7,0.15,0.04432117849953113,0.14132907619429394,0.15482710742385908,0.783642336365169,7
303,0.09,16,0.2,0.10275517290727479,0.11941325858460951,0.12737191369673037,0.7804959170301092,16
247,0.08,18,0.2,0.08570231919854554,0.11451444452025927,0.12132222763177929,0.7790365076968142,18
483,0.12,13,0.2,0.3198783559549738,0.13315022979816782,0.14528228284317513,0.7788302027185776,13
640,0.14,20,0.25,2.324167828505793,0.13035587248179897,0.14173628050700277,0.778600031601271,12
295,0.09,14,0.2,0.06316055294476913,0.13044340959766565,0.1420018150847822,0.7777605485657024,14
253,0.08,20,0.1,741.9726420615851,0.1256984882603267,0.1360953103746204,0.7766504809708549,7
942,0.19,16,0.15,3.931261946089861,0.14926094427737577,0.16658189434311896,0.7759603454330342,14
569,0.13,19,0.1,120.67065949906998,0.11963665260175277,0.12842222179637494,0.775852116619939,9
244,0.08,17,0.25,0.05891069794575088,0.13492319153873225,0.1481370562351448,0.775789626576009,17
169,0.07,15,0.1,333.8883059642903,0.13869156647536268,0.15317724129924826,0.7748642387643339,10
301,0.09,16,0.1,154.38593356827704,0.11663332344319498,0.12483192831744758,0.774107431853944,10
285,0.09,12,0.1,154.39058399166902,0.1297730630713419,0.1418470023362154,0.7738835594928565,10
750,0.16,16,0.15,3.043621393852294,0.12477706973817718,0.1356608895551689,0.7723454422401361,10
484,0.12,13,0.25,0.0608798431198362,0.1335060897395462,0.1471929888928005,0.7711378822683721,13
747,0.16,15,0.2,0.2169524792505627,0.13139485562567937,0.14465139795130733,0.7700918014160997,15
677,0.15,14,0.1,28.25716676920063,0.11456555089662214,0.12334378449999225,0.7666827418987462,11
610,0.14,13,0.15,5.7794756366068265,0.14206863851912785,0.15923267670094501,0.7666054546604465,10
490,0.12,15,0.15,0.12683166350043648,0.11682149092843909,0.12643107976001186,0.7658045087665397,15
693,0.15,18,0.1,71.54322162713453,0.13276917236077215,0.14727441708048652,0.7657078167156689,10
104,0.06,14,0.25,163.2712776916171,0.13610944091261448,0.15187107738686584,0.764526352946357,14
975,0.2,8,0.2,0.15108978985246616,0.14249077054895867,0.1602196937143551,0.7645175677800209,8
182,0.07,18,0.15,8.81160442997813,0.11043188299585194,0.11835865676568705,0.7640495884883067,16
658,0.15,9,0.15,2.5915702031084864,0.13963734921492188,0.15659386495724095,0.7639976779907035,8
659,0.15,9,0.2,0.8348698744288202,0.11172644476182803,0.12027549051811191,0.762636214300163,9
366,0.1,16,0.15,1.1664496526238106,0.12547190126518534,0.1384601260759302,0.761749279408756,16
888,0.18,18,0.25,0.059556539992813476,0.1276700006313332,0.1415735872858236,0.7605232211426397,18
638,0.14,20,0.15,2.692618785612226,0.12204409884948954,0.13423651426131078,0.7601813814298392,11
83,0.06,9,0.2,463.571570827817,0.12388616599020216,0.1367684152213029,0.7595771715428999,9
711,0.16,6,0.2,41.17874330262617,0.12692296546299914,0.14110127821899518,0.7577746056775627,6
329,0.1,7,0.1,601.7181111790389,0.11643683664984923,0.127287280868029,0.7576313673463932,7
383,0.1,20,0.2,4.037946827129372,0.11647422036329899,0.12746648922509837,0.7568594769479463,13
544,0.13,12,0.25,0.06320837446219207,0.11137302771909795,0.12078814777469994,0.7564734570607992,12
538,0.13,11,0.15,2.859560698115216,0.12560413340177456,0.14002697678026693,0.7541699166117871,9
937,0.19,15,0.1,40.819268728166605,0.1217791571435814,0.1349574107875259,0.7541576009028533,11
93,0.06,12,0.1,425.28104011652687,0.1343323670010042,0.15164694429616007,0.7539378226950483,10
627,0.14,17,0.2,0.04447647809311627,0.1391690354409349,0.1584991849408527,0.7518589794982563,17
